,Attraction Name,Description,Category,Estimated Budget,Min_Budget,Max_Budget,Sentiment_Score,State
1397,Jaipur Wax Museum,Step into the world of wax figures at the Jaipur Wax Museum and encounter lifelike statues of historical figures celebrities and political leaders. Get up close to your favorite personalities and snap memorable photos as you explore this unique attraction.,Cultural & Heritage,100 - 200/- per person,100,200.0,0.7184,Rajasthan
1398,Jaipur Zoo,Discover a diverse range of wildlife at the Jaipur Zoo home to numerous animal species from around the world. Enjoy leisurely strolls through lush greenery and beautifully landscaped enclosures as you observe majestic big cats playful primates and colorful avian species.,Nature & Wildlife,50 - 100/- per person,50,100.0,0.8689,Rajasthan
1399,Albert Hall Museum,Immerse yourself in the rich cultural heritage of Rajasthan at the Albert Hall Museum housed in a magnificent Indo-Saracenic architectural marvel. Explore its vast collection of artifacts including paintings sculptures and decorative arts as you journey through the history and art of the region.,Cultural & Heritage,100 - 200/- per person,100,200.0,0.8834,Rajasthan
1400,Nahargarh Fort,Ascend to the heights of Nahargarh Fort and enjoy panoramic views of Jaipur city sprawled below against the backdrop of the Aravalli hills. Explore the fort's sprawling complex including palaces courtyards and gardens and learn about its intriguing history and architectural significance.,Historical Landmark,150 - 250/- per person,150,250.0,0.6486,Rajasthan
1401,Chokhi Dhani,Experience the vibrant culture and traditions of Rajasthan at Chokhi Dhani an ethnic village resort offering a glimpse into rural life. Enjoy traditional Rajasthani cuisine folk performances camel rides and other cultural activities in an authentic village setting.,Cultural & Heritage,300 - 500/- per person,300,500.0,0.765,Rajasthan
1402,Dilwara Temples,Marvel at the exquisite Dilwara Temples a group of ornately carved Jain temples renowned for their architectural beauty and intricate marble work. Admire the delicate craftsmanship and serene ambiance of these sacred shrines nestled amidst lush greenery.,Spiritual & Religious,100 - 200/- per person,100,200.0,0.926,Rajasthan
1403,Ranakpur Jain Temple,Discover architectural marvels at the Ranakpur Jain Temple dedicated to Adinath the first Tirthankara of Jainism. Explore its intricately carved marble pillars domes and spires each showcasing unparalleled craftsmanship and spiritual symbolism.,Spiritual & Religious,200 - 300/- per person,200,300.0,0.7184,Rajasthan
1404,Rajasthan Heritage Village,Step back in time at the Rajasthan Heritage Village and experience the rural charm of traditional Rajasthani villages. Explore authentic mud houses artisan workshops and cultural performances while gaining insights into the region's rich heritage and lifestyle.,Cultural & Heritage,100 - 200/- per person,100,200.0,0.8442,Rajasthan
1405,Abhaneri Stepwell,Descend into the depths of Abhaneri Stepwell one of the largest and deepest stepwells in India known for its intricate architecture and historical significance. Marvel at the geometric patterns and carved motifs adorning the walls as you explore this ancient engineering marvel.,Historical Landmark,50 - 100/- per person,50,100.0,0.8519,Rajasthan
1406,Keoladeo National Park,Embark on a birdwatching adventure at Keoladeo National Park a UNESCO World Heritage Site renowned for its diverse avian population. Traverse through wetlands marshes and forests spotting migratory birds such as cranes pelicans and painted storks in their natural habitat.,Nature & Wildlife,100 - 200/- per person,100,200.0,0.5859,Rajasthan
1407,Sariska Tiger Reserve,Unleash your adventurous spirit with a safari at Sariska Tiger Reserve home to majestic tigers leopards and other wildlife species. Explore the rugged terrain and dense forests of this wildlife sanctuary keeping an eye out for elusive big cats and rare bird species.,Nature & Wildlife,200 - 400/- per person,200,400.0,0.4767,Rajasthan
1408,Sambhar Lake,Experience the mesmerizing beauty of Sambhar Lake India's largest inland saltwater lake spread across vast expanses of shimmering salt flats. Marvel at the surreal landscape and serene surroundings as you witness stunning sunsets and capture breathtaking photographs.,Nature & Wildlife,50 - 100/- per person,50,100.0,0.9349,Rajasthan
1409,Birla Mandir Jaipur,Seek solace and spiritual tranquility at Birla Mandir Jaipur a magnificent white marble temple dedicated to Lord Vishnu and Goddess Lakshmi. Admire the temple's intricate carvings tranquil gardens and majestic architecture while soaking in the divine ambiance.,Spiritual & Religious,50 - 100/- per person,50,100.0,0.9531,Rajasthan
1410,Chittorgarh Fort,Relive the tales of valor and romance at Chittorgarh Fort one of the largest forts in India and a UNESCO World Heritage Site. Explore its massive ramparts majestic palaces and ancient temples while learning about its tumultuous history and enduring legacy.,Historical Landmark,200 - 400/- per person,200,400.0,0.5574,Rajasthan
1411,Kumbhalgarh Fort,Marvel at the imposing grandeur of Kumbhalgarh Fort a UNESCO World Heritage Site and the second-longest continuous wall after the Great Wall of China. Explore its fortified walls magnificent palaces and intricate temples while enjoying panoramic views of the surrounding Aravalli hills.,Historical Landmark,300 - 500/- per person,300,500.0,0.9571,Rajasthan
1412,Bagore Ki Haveli,Step into the past at Bagore Ki Haveli a historic mansion turned museum showcasing the cultural heritage of Rajasthan. Explore its ornate architecture exquisite mirror work and extensive collection of artifacts including costumes jewelry and musical instruments.,Cultural & Heritage,100 - 200/- per person,100,200.0,0.0,Rajasthan
1413,Galta Ji Temple,Discover the spiritual oasis of Galta Ji Temple also known as the Monkey Temple nestled amidst the picturesque Aravalli hills. Encounter playful monkeys and holy ponds while exploring this sacred Hindu pilgrimage site known for its natural springs and ancient architecture.,Spiritual & Religious,50 - 100/- per person,50,100.0,0.7906,Rajasthan
1414,Osian Temples,Embark on a journey of discovery at the Osian Temples an ancient temple complex dating back to the 8th century. Marvel at its intricately carved architecture majestic sandstone temples and serene ambiance as you delve into the religious and cultural heritage of Rajasthan.,Spiritual & Religious,100 - 200/- per person,100,200.0,0.7003,Rajasthan
1415,Nakki Lake,Indulge in leisurely activities at Nakki Lake a serene water body surrounded by lush greenery and rocky hills in Mount Abu. Enjoy boating picnicking and exploring the nearby attractions including Toad Rock and Sunset Point while soaking in the tranquil ambiance.,Nature & Wildlife,50 - 100/- per person,50,100.0,0.8481,Rajasthan
1416,Rajasthan State Archives,Unravel the historical mysteries of Rajasthan at the Rajasthan State Archives home to a vast collection of ancient manuscripts royal documents and historical records. Explore the rich tapestry of the region's past while delving into archival research and preservation efforts.,Cultural & Heritage,50 - 100/- per person,50,100.0,0.5574,Rajasthan
1417,Pushkar Camel Fair,Immerse yourself in the vibrant festivities of the Pushkar Camel Fair one of the largest livestock fairs in the world. Witness a kaleidoscope of colors cultural performances and camel trading activities as you experience the unique charm of this annual event.,Cultural & Heritage,200 - 300/- per person,200,300.0,0.8885,Rajasthan
1418,Salim Singh Ki Haveli,Step into the opulent world of Salim Singh Ki Haveli a historic mansion known for its distinctive architecture and ornate balconies. Explore its intricately carved facade exquisite frescoes and hidden passages while marveling at the craftsmanship of a bygone era.,Cultural & Heritage,50 - 100/- per person,50,100.0,0.0,Rajasthan
1419,Achalgarh Fort,Unravel the mysteries of Achalgarh Fort a historic fortress perched atop a scenic hill in Mount Abu. Explore its ancient temples fortifications and scenic viewpoints while learning about its fascinating history and architectural significance.,Historical Landmark,50 - 100/- per person,50,100.0,0.6808,Rajasthan
1420,Junagarh Fort,Bask in the grandeur of Junagarh Fort a magnificent fortress built by Raja Rai Singh in the 16th century. Explore its palaces courtyards and museums showcasing exquisite artifacts and royal treasures while marveling at the architectural splendor of this imposing stronghold.,Historical Landmark,200 - 400/- per person,200,400.0,0.9349,Rajasthan
1421,Surya Mandir,Seek blessings at Surya Mandir an ancient sun temple dedicated to the solar deity Surya. Admire the temple's exquisite architecture intricate carvings and serene ambiance as you offer prayers and soak in the divine energy of this sacred pilgrimage site.,Spiritual & Religious,50 - 100/- per person,50,100.0,0.9578,Rajasthan
1422,Sisodia Rani Garden,Escape to the tranquil oasis of Sisodia Rani Garden a picturesque garden retreat built by Maharaja Sawai Jai Singh for his queen. Stroll amidst lush greenery cascading waterfalls and intricately landscaped terraces while marveling at the beauty of its floral displays and architectural features.,Nature & Wildlife,50 - 100/- per person,50,100.0,0.8442,Rajasthan
1423,Jhalana Leopard Safari,Embark on an exhilarating safari adventure at Jhalana Leopard Safari Park home to a thriving population of leopards amidst rocky terrain and scrub forests. Experience close encounters with these elusive big cats while exploring the wilderness on guided safaris and nature trails.,Nature & Wildlife,200 - 300/- per person,200,300.0,0.6124,Rajasthan
1424,Mandore Gardens,Discover the enchanting Mandore Gardens adorned with lush greenery ancient temples and royal cenotaphs dedicated to the rulers of Marwar. Explore its sprawling lawns and architectural marvels while soaking in the serene ambiance and historical significance of this heritage site.,Nature & Wildlife,50 - 100/- per person,50,100.0,0.8979,Rajasthan
1425,Gajner Palace,Experience the regal charm of Gajner Palace a magnificent heritage hotel located on the banks of Gajner Lake amidst sprawling sand dunes. Indulge in luxury accommodations royal dining experiences and recreational activities while reliving the grandeur of Rajasthan's royal past.,Cultural & Heritage,500 - 1000/- per person,500,1000.0,0.875,Rajasthan
1426,Deeg Palace,Step into the royal past at Deeg Palace a historic palace complex known for its stunning architecture and expansive gardens. Explore its ornate palaces pavilions and fountains while learning about its rich history and significance as a summer retreat for the rulers of Bharatpur.,Cultural & Heritage,100 - 200/- per person,100,200.0,0.8442,Rajasthan
1427,Galtaji Temple,Discover the spiritual allure of Galtaji Temple an ancient Hindu pilgrimage site nestled amidst the Aravalli hills. Explore its sacred temples natural springs and intricately carved architecture while witnessing the daily rituals and religious ceremonies performed by devotees.,Spiritual & Religious,50 - 100/- per person,50,100.0,0.4588,Rajasthan
1428,Kuldhara Village,Unravel the mysteries of Kuldhara Village an abandoned ghost village shrouded in myths and legends. Explore its dilapidated houses and ruins while hearing tales of its tragic past and the curse that befell its inhabitants centuries ago.,Cultural & Heritage,50 - 100/- per person,50,100.0,-0.9287,Rajasthan
1429,Rajasthan Rural Arts Program,Immerse yourself in the vibrant culture and traditions of rural Rajasthan at the Rajasthan Rural Arts Program. Experience traditional art forms music and dance performances and interact with local artisans while gaining insights into the region's rich heritage and lifestyle.,Cultural & Heritage,100 - 200/- per person,100,200.0,0.8689,Rajasthan
1430,Kailana Lake,Relax amidst scenic surroundings at Kailana Lake a serene freshwater lake offering stunning sunset views and recreational activities. Enjoy boating birdwatching and picnicking along its tranquil shores while soaking in the natural beauty and peaceful ambiance.,Nature & Wildlife,50 - 100/- per person,50,100.0,0.9657,Rajasthan
1431,Dungarpur Palace,Experience the grandeur of Dungarpur Palace a magnificent heritage hotel showcasing Rajput architecture and royal hospitality. Indulge in luxury accommodations fine dining experiences and cultural performances while immersing yourself in the opulent ambiance of this royal retreat.,Cultural & Heritage,500 - 1000/- per person,500,1000.0,0.872,Rajasthan
1432,Mandawa Havelis,Step into a bygone era at Mandawa Havelis a cluster of historic mansions adorned with elaborate frescoes and intricate artwork. Explore its ornate courtyards opulent rooms and antique collections while marveling at the architectural splendor of Rajasthan's merchant class.,Cultural & Heritage,100 - 200/- per person,100,200.0,0.7506,Rajasthan
1433,Mukundgarh Fort,Discover the architectural marvels of Mukundgarh Fort a historic fortress showcasing Rajput and Mughal influences. Explore its majestic gateways ornate palaces and intricate frescoes while learning about its rich history and cultural significance.,Historical Landmark,100 - 200/- per person,100,200.0,0.8519,Rajasthan
